date,premise_code,item_code,price
2023-11-12,18129,2,11.8
2023-11-12,18135,2,11.79
2023-11-12,18197,2,11.3
2023-11-12,18209,2,11.99
2023-11-12,18344,2,11.6
2023-11-12,18345,2,11.2
2023-11-12,18346,2,10.8
2023-11-12,18460,2,11.35
2023-11-12,18466,2,12.3
2023-11-12,18481,2,11.99
2023-11-12,18501,2,11.6
2023-11-12,18502,2,11.2
2023-11-12,18503,2,11.3
2023-11-12,20732,2,11.6
2023-11-12,20856,2,10.99
2023-11-12,20864,2,11.2
2023-11-12,20865,2,11.5
2023-11-12,20866,2,11.59
2023-11-12,20867,2,11.3
2023-11-12,20874,2,11.8
2023-11-13,361,2,12.5
2023-11-13,754,2,11.59
2023-11-13,758,2,11.5
2023-11-13,1117,2,9.9
2023-11-13,1134,2,9.9
2023-11-13,1300,2,12.2
2023-11-13,1844,2,11.8
2023-11-13,2629,2,11.8
2023-11-13,2879,2,11.6
2023-11-13,3056,2,11.6
2023-11-13,3214,2,11.99
2023-11-13,3838,2,11.3
2023-11-13,4667,2,15.5
2023-11-13,5218,2,10.99
2023-11-13,5377,2,8.79
2023-11-13,5379,2,11.8
2023-11-13,5678,2,11.6
2023-11-13,6143,2,11.0
2023-11-13,6177,2,11.59
2023-11-13,11332,2,11.7
2023-11-13,11523,2,11.5
2023-11-13,11524,2,10.99
2023-11-13,11536,2,11.9
2023-11-13,11537,2,11.5
2023-11-13,11699,2,10.39
2023-11-13,12743,2,9.9
2023-11-13,14384,2,11.8
2023-11-13,15556,2,11.59
2023-11-13,16472,2,11.2
2023-11-13,16519,2,9.99
2023-11-13,16522,2,12.5
2023-11-13,17100,2,8.79
2023-11-13,17101,2,10.5
2023-11-13,17727,2,11.5
2023-11-13,17728,2,11.8
2023-11-13,17828,2,11.5
2023-11-13,17835,2,11.6
2023-11-13,17839,2,11.59
2023-11-13,17866,2,10.99
2023-11-13,17876,2,11.5
2023-11-13,17877,2,11.5
2023-11-13,17881,2,12.4
2023-11-13,17987,2,11.69
2023-11-13,18129,2,11.8
2023-11-13,18135,2,11.79
2023-11-13,18197,2,11.3
2023-11-13,18198,2,8.79
2023-11-13,18209,2,11.99
2023-11-13,18344,2,11.6
2023-11-13,18345,2,11.2
2023-11-13,18346,2,10.8
2023-11-13,18460,2,11.35
2023-11-13,18501,2,11.6
2023-11-13,18502,2,11.2
2023-11-13,18503,2,11.3
2023-11-13,20731,2,8.79
2023-11-13,20732,2,11.6
2023-11-13,20833,2,8.99
2023-11-13,20854,2,10.39
2023-11-13,20856,2,10.99
2023-11-13,20864,2,11.2
2023-11-13,20865,2,11.5
2023-11-13,20866,2,11.59
2023-11-13,20867,2,11.3
2023-11-13,20874,2,11.8
2023-11-14,3,2,9.6
2023-11-14,361,2,12.5
2023-11-14,365,2,13.0
2023-11-14,494,2,10.39
2023-11-14,589,2,11.0
2023-11-14,633,2,13.0
2023-11-14,754,2,11.59
2023-11-14,758,2,11.5
2023-11-14,834,2,12.0
2023-11-14,857,2,12.0
2023-11-14,873,2,12.0
2023-11-14,1117,2,9.9
2023-11-14,1134,2,9.9
2023-11-14,1300,2,12.2
2023-11-14,1844,2,11.8
2023-11-14,2161,2,10.0
2023-11-14,2190,2,10.4
2023-11-14,2230,2,12.0
2023-11-14,2270,2,11.6
2023-11-14,2280,2,10.39
2023-11-14,2450,2,11.99
2023-11-14,2507,2,12.3
2023-11-14,2517,2,12.0
2023-11-14,2554,2,11.99
2023-11-14,2617,2,12.0
2023-11-14,2629,2,11.8
2023-11-14,2879,2,11.6
2023-11-14,3003,2,9.6
2023-11-14,3056,2,11.6
2023-11-14,3078,2,9.39
2023-11-14,3130,2,9.9
2023-11-14,3214,2,11.99
2023-11-14,3702,2,13.0
2023-11-14,3727,2,10.9
2023-11-14,3838,2,11.3
2023-11-14,3845,2,11.99
2023-11-14,4302,2,11.99
2023-11-14,4303,2,12.8
2023-11-14,4313,2,12.0
